kode_kota_kabupaten,nama_kota_kabupaten,tahun,proyeksi_jumlah_penduduk
3201,KAB. BOGOR,2010,4813.88
3201,KAB. BOGOR,2011,4943.75
3201,KAB. BOGOR,2012,5073.120000000001
3201,KAB. BOGOR,2013,5202.11
3201,KAB. BOGOR,2014,5331.14
3201,KAB. BOGOR,2015,5459.68
3201,KAB. BOGOR,2016,5587.39
3201,KAB. BOGOR,2017,5558.710000000001
3202,KAB. SUKABUMI,2010,2358.420000000001
3202,KAB. SUKABUMI,2011,2376.4999999999995
3202,KAB. SUKABUMI,2012,2393.22
3202,KAB. SUKABUMI,2013,2408.42
3202,KAB. SUKABUMI,2014,2422.11
3202,KAB. SUKABUMI,2015,2434.2299999999996
3202,KAB. SUKABUMI,2016,2444.6400000000003
3202,KAB. SUKABUMI,2017,2394.8200000000006
3203,KAB. CIANJUR,2010,2186.8100000000004
3203,KAB. CIANJUR,2011,2201.02
3203,KAB. CIANJUR,2012,2213.89
3203,KAB. CIANJUR,2013,2225.32
3203,KAB. CIANJUR,2014,2235.42
3203,KAB. CIANJUR,2015,2243.9100000000008
3203,KAB. CIANJUR,2016,2250.9900000000002
3203,KAB. CIANJUR,2017,2245.8999999999996
3204,KAB. BANDUNG,2010,3205.13
3204,KAB. BANDUNG,2011,3272.8199999999997
3204,KAB. BANDUNG,2012,3339.69
3204,KAB. BANDUNG,2013,3405.48
3204,KAB. BANDUNG,2014,3470.409999999999
3204,KAB. BANDUNG,2015,3534.139999999999
3204,KAB. BANDUNG,2016,3596.63
3204,KAB. BANDUNG,2017,3572.08
3205,KAB. GARUT,2010,2422.3399999999997
3205,KAB. GARUT,2011,2450.4400000000005
3205,KAB. GARUT,2012,2477.1099999999997
3205,KAB. GARUT,2013,2502.4300000000003
3205,KAB. GARUT,2014,2526.1999999999994
3205,KAB. GARUT,2015,2548.7400000000002
3205,KAB. GARUT,2016,2569.5099999999998
3205,KAB. GARUT,2017,2568.7999999999997
3206,KAB. TASIKMALAYA,2010,1687.7900000000002
3206,KAB. TASIKMALAYA,2011,1699.59
3206,KAB. TASIKMALAYA,2012,1710.4400000000003
3206,KAB. TASIKMALAYA,2013,1720.14
3206,KAB. TASIKMALAYA,2014,1728.61
3206,KAB. TASIKMALAYA,2015,1736.01
3206,KAB. TASIKMALAYA,2016,1742.2700000000004
3206,KAB. TASIKMALAYA,2017,1780.08
3207,KAB. CIAMIS,2010,1135.7300000000002
3207,KAB. CIAMIS,2011,1142.23
3207,KAB. CIAMIS,2012,1148.79
3207,KAB. CIAMIS,2013,1155.5
3207,KAB. CIAMIS,2014,1162.13
3207,KAB. CIAMIS,2015,1168.69
3207,KAB. CIAMIS,2016,1175.4
3207,KAB. CIAMIS,2017,1220.11
3208,KAB. KUNINGAN,2010,1023.93
3208,KAB. KUNINGAN,2011,1030.19
3208,KAB. KUNINGAN,2012,1036.52
3208,KAB. KUNINGAN,2013,1042.7900000000002
3208,KAB. KUNINGAN,2014,1049.0900000000004
3208,KAB. KUNINGAN,2015,1055.41
3208,KAB. KUNINGAN,2016,1061.88
3208,KAB. KUNINGAN,2017,1078.4399999999998
3209,KAB. CIREBON,2010,2044.19
3209,KAB. CIREBON,2011,2060.4100000000003
3209,KAB. CIREBON,2012,2076.63
3209,KAB. CIREBON,2013,2093.0800000000004
3209,KAB. CIREBON,2014,2109.5899999999997
3209,KAB. CIREBON,2015,2126.19
3209,KAB. CIREBON,2016,2143.0099999999998
3209,KAB. CIREBON,2017,2173.3400000000006
3210,KAB. MAJALENGKA,2010,1153.2499999999998
3210,KAB. MAJALENGKA,2011,1158.89
3210,KAB. MAJALENGKA,2012,1164.7199999999996
3210,KAB. MAJALENGKA,2013,1170.51
3210,KAB. MAJALENGKA,2014,1176.3499999999997
3210,KAB. MAJALENGKA,2015,1182.1100000000001
3210,KAB. MAJALENGKA,2016,1188.0199999999998
3210,KAB. MAJALENGKA,2017,1148.88
3211,KAB. SUMEDANG,2010,1101.57
3211,KAB. SUMEDANG,2011,1110.1000000000001
3211,KAB. SUMEDANG,2012,1117.91
3211,KAB. SUMEDANG,2013,1125.1399999999999
3211,KAB. SUMEDANG,2014,1131.53
3211,KAB. SUMEDANG,2015,1137.26
3211,KAB. SUMEDANG,2016,1142.11
3211,KAB. SUMEDANG,2017,1176.7199999999996
3212,KAB. INDRAMAYU,2010,1645.0400000000002
3212,KAB. INDRAMAYU,2011,1654.1200000000001
